epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.09979,0,26.6724,0,0,0,0,0,0,29.8281,0,0.0001,0.0001,0.0001
2,1.74264,0,26.2288,0,0,0,0,0,0,29.8281,0,0.000217278,0.000217278,0.000217278
3,2.36467,0,24.9223,0,0,0,0,0,0,29.8281,0,0.000331585,0.000331585,0.000331585
4,2.97991,0,23.3221,0,0,0,0,0,0,30.3073,0,0.000442923,0.000442923,0.000442923
5,3.57616,0,21.6083,0,0,0,0,0,0,29.901,0,0.00055129,0.00055129,0.00055129
6,4.17517,0,20.0061,0,0,0,0,0,0,29.9323,0,0.000656688,0.000656688,0.000656688
7,4.76918,0,18.9342,0,0,0,0,0,0,29.625,0,0.000759115,0.000759115,0.000759115
8,5.39558,0,17.6617,0,0,0,0,0,0,33.7031,0,0.000858572,0.000858572,0.000858572
9,6.06335,0,16.7,0,0,0,0,0,0,25.349,0,0.00095506,0.00095506,0.00095506
10,6.65238,0,16.524,0,0,0,0,0,0,33.5208,0,0.00104858,0.00104858,0.00104858
11,7.23081,0,16.0344,0,0,0,0,0,0,38.9688,0,0.00113912,0.00113912,0.00113912
12,7.82293,0,15.3409,0,0,0,0,0,0,8.55208,0,0.0012267,0.0012267,0.0012267
13,8.40119,0,15.0263,0,0,0,0,0,0,424.031,0,0.00131131,0.00131131,0.00131131
14,8.99557,0,14.4028,0,0,0,0,0,0,2.69987,0,0.00139295,0.00139295,0.00139295
15,9.55884,0,13.7031,0,0,0,0,0,0,2.56706,0,0.00147161,0.00147161,0.00147161
16,10.1461,0,13.2343,0,0,0,0,0,0,19.8398,0,0.00154731,0.00154731,0.00154731
17,10.7018,0,12.661,0,0,0,0,0,0,212.177,0,0.001604,0.001604,0.001604
18,11.3101,0,12.2203,0,0,0,0,0,0,45.5247,0,0.00157925,0.00157925,0.00157925
19,11.8851,0,11.683,0,0,0,0,0,0,426.667,0,0.0015545,0.0015545,0.0015545
20,12.4975,0,11.2982,0,0,0,0,0,0,nan,0,0.00152975,0.00152975,0.00152975
21,13.0466,0,10.8026,0,0,0,0,0,0,nan,0,0.001505,0.001505,0.001505
22,13.6766,0,10.4201,0,0,0,0,0,0,nan,0,0.00148025,0.00148025,0.00148025
23,14.2075,0,9.99857,0,0,0,0,0,0,nan,0,0.0014555,0.0014555,0.0014555
24,14.7881,0,9.59764,0,0,0,0,0,0,nan,0,0.00143075,0.00143075,0.00143075
25,15.4145,0,9.17376,0,0,0,0,0,0,nan,0,0.001406,0.001406,0.001406
26,16.0094,0,8.82523,0,0,0,0,0,0,nan,0,0.00138125,0.00138125,0.00138125
27,16.5639,0,8.45125,0,0,0,0,0,0,1.74284,0,0.0013565,0.0013565,0.0013565
28,17.1499,0,8.12729,0,0,0,0,0,0,4.5013,0,0.00133175,0.00133175,0.00133175
29,17.7223,0,7.78283,0,0,0,0,0,0,4.33659,0,0.001307,0.001307,0.001307
30,18.3084,0,7.48771,0,0,0,0,0,0,4.28385,0,0.00128225,0.00128225,0.00128225
31,18.8819,0,7.17819,0,0,0,0,0,0,4.26107,0,0.0012575,0.0012575,0.0012575
32,19.4855,0,6.93143,0,0,0,0,0,0,4.26107,0,0.00123275,0.00123275,0.00123275
33,20.0453,0,6.62954,0,0,0,0,0,0,4.26107,0,0.001208,0.001208,0.001208
34,20.6454,0,6.39149,0,0,0,0,0,0,4.26107,0,0.00118325,0.00118325,0.00118325
35,21.2151,0,6.13345,0,0,0,0,0,0,4.26107,0,0.0011585,0.0011585,0.0011585
36,21.8519,0,5.95697,0,0,0,0,0,0,4.26107,0,0.00113375,0.00113375,0.00113375
37,22.4148,0,5.68651,0,0,0,0,0,0,4.26628,0,0.001109,0.001109,0.001109
38,23.0262,0,5.51809,0,0,0,0,0,0,4.26107,0,0.00108425,0.00108425,0.00108425
39,23.6077,0,5.31137,0,0,0,0,0,0,4.26107,0,0.0010595,0.0010595,0.0010595
40,24.2002,0,5.14287,0,0,0,0,0,0,4.26107,0,0.00103475,0.00103475,0.00103475
41,24.8662,0,4.97556,0,0,0,0,0,0,4.26107,0,0.00101,0.00101,0.00101
42,25.4648,0,4.89877,0,0,0,0,0,0,3.77214,0,0.00098525,0.00098525,0.00098525
43,26.0275,0,4.66876,0,0,0,0,0,0,3.2832,0,0.0009605,0.0009605,0.0009605
44,26.6264,0,4.51856,0,0,0,0,0,0,7.57552,0,0.00093575,0.00093575,0.00093575
45,27.1907,0,4.36403,0,0,0,0,0,0,33.498,0,0.000911,0.000911,0.000911
46,27.7995,0,4.24799,0,0,0,0,0,0,1.98242,0,0.00088625,0.00088625,0.00088625
47,28.3649,0,4.10287,0,0,0,0,0,0,2.25,0,0.0008615,0.0008615,0.0008615
48,28.9556,0,3.99777,0,0,0,0,0,0,2.1224,0,0.00083675,0.00083675,0.00083675
49,29.526,0,3.86361,0,0,0,0,0,0,3.34245,0,0.000812,0.000812,0.000812
